code_no,title,source_type,primary_place,lat,lng,all_places,summary_hint,api_category,api_category2,api_tags,narrative_type,primary_category,representative_category,core_topics,entities,spaces,moods,functions
C_M_001,각시당본풀이,legend,삼도동,33.5120406,126.5215055,삼도동 | 제주시 | 남문통,각시당본풀이는 제주시 삼도동에 있던 각시당에 얽힌 무속신화이다.,신화,MYTH2.002,"본풀이,각시당,산육신,귀양정배,남문통,각시당본풀이,적강,삼내나목골,막대동상,삼도동,짐씨영감삼천벵메,처녀당,옥황상제말젯딸",무속신화,무속신화·신격 전승,가족·인간사 서사,무속신화·신격 전승 | 가족·인간사 서사,신 | 인간 | 왕/관원/선비,당/사당 | 마을 | 산/오름,신성 | 경외 | 신비,공동체 기억 | 인물 전승
C_M_002,고내본향,legend,항파두리,33.4525645,126.4081369,납읍리 | 애월읍 | 고내리 | 고내봉 | 항파두리,고내본향 본풀이는 애월읍 고내리의 본향당과 관련하여 전승되는 신화이다. 탐라 시절 천자국에서 제주를 욕심내어 차지할 요량으로 김통정을 보내었으나 김통정이 욕심이 생겨 돌아가지 않자 삼장수를 보내어 김통정을 처단하였는...,신화,MYTH2.002,"김통정,항파두리,토성,무쇠방석,관탈,고내본향,삼장수,병서,을서,무쇠문,계집아이,벨궁자따님아기,황서,천자국,셋칫하르방,대국",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 생활민담·교훈담 | 지명·지형 유래,신 | 인간 | 마을신,당/사당 | 마을,경외 | 신성 | 익살 | 따뜻함 | 신비,기원 설명 | 인물 전승 | 공동체 기억 | 장소 신성화
C_M_003,고대장본풀이,legend,납읍리,33.4284054,126.3417831,제주성 | 납읍리 | 선흘리 | 조천읍 | 대정현 | 무근성 | 용담동 | 어음리 | 제주시 | 남문통,"고대장본풀이는 제주시 삼도2동 무근성 고만호 댁에서 모시는 조상신의 내력을 담은 신화이다. 고대장은 뛰어난 심방이어서 이형상 목사가 당을 철폐할 때 제주성 일대의 당을 지켜내 었고, 조천읍 선흘리 안씨 댁 굿을 갔더...",신화,MYTH2.003,"삼형제,기우제,선흘리,용소,납읍리,각시당,고대장,만주에미,고대장본풀이,이형상,무근성,부군칠성,당오백,영천이목사,남문통,어음리,순흥고을,안씨,벵맷기,고만호,안체포,사당클,백중대제일,백중마량",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승,신 | 심방 | 왕/관원/선비 | 조상신,당/사당 | 마을,신성 | 경외 | 신비,인물 전승 | 공동체 기억
C_M_004,고도채비본,legend,시흥리,33.4693635,126.8824129,제주성 | 성산읍 | 시흥리,고도채비본은 날래기가 도깨비와 같은 고씨 성을 가진 사람의 내력을 담은 신화이다.,신화,MYTH2.003,"사냥,활,제주성,시흥리,이재수,고도채비본,강우백,고도채비,어사품,잠자리,밥주리,물동이,국문,삼읍,심똘,3의사,성교파,천주교도,양총,서양신부,동문,신축년난리,오대현",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 가족·인간사 서사 | 초자연 존재담,신 | 도체비/요괴 | 인간,마을 | 산/오름,경외 | 신비 | 신성 | 공포,인물 전승 | 공동체 기억
C_M_005,고성신양수산본향당본풀이,legend,마라도,33.1206371,126.2671204,성산읍 | 종달리 | 송당리 | 고성리 | 마라도 | 수산리 | 구좌읍,고성신양수산본향당본풀이는 성산읍 고성리・신양리・수산리 사람들이 함께 모시는 수,신화,MYTH2.002,"중국,마라도,귀양,돼지털,수산리,용왕국,송당리,고성신양수산본향당본풀이,하로산,금벡주,대부인,소부인,말잣딸아기,울뤠마루",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 가족·인간사 서사 | 해양·어촌 전승,인간 | 신 | 마을신 | 왕/관원/선비 | 용왕/해신,당/사당 | 바다 | 산/오름 | 섬,경외 | 신성 | 신비 | 따뜻함,공동체 기억 | 인물 전승 | 장소 신성화
C_M_006,고전적본,legend,봉개동,33.4571323,126.6130534,봉개동 | 정의현 | 제주시,고전적본은 제주시 봉개동 명도암 고씨와 김씨 집안의 수호신에 대한 이야기이다. 고전적 자손이 장잇고을 현감살이하러 갔다가 귀향할 때 딸에게 선물로 준 옷감에 따라 온 한양일월이 딸에게 병을 일으켜 굿을 하는데 양반집...,신화,MYTH2.003,"큰굿,정의현,명도암,느진덕정하님,상시관,고전적본,한양일월조상,장이현감,예촌양씨,장잇고을,이원신,악셍덱,대시왕연맞이,연주청오물떡,가문잔치,동이풀이",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 가족·인간사 서사,신 | 왕/관원/선비 | 동물 | 인간,마을,신성 | 경외 | 따뜻함 | 신비,공동체 기억 | 인물 전승 | 장소 신성화
C_M_007,곤물당본풀이,legend,화순리,33.252712,126.3343265,화순리 | 안덕면,곤물당본풀이는 안덕면 화순리 곤물당의 내력을 전하는 신화이다. 고성목은 급히 큰 길을 만들라는 목사의 명령을 받고 고민하던 차에 길이 생기는 꿈을 보았는데 실제로 길이 만들어져 위기를 벗어났으나 다시 위기가 닥칠 것...,신화,MYTH2.002,"본풀이,화순리,길,진상,산방덕,곤물당,곤물당본풀이,고성목,과원,순력,남신(나막신),삼방덱이,당주,본향신",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 마을 공동체 전승,신 | 마을신 | 왕/관원/선비,당/사당 | 마을 | 산/오름,신성 | 경외 | 신비,인물 전승 | 공동체 기억 | 장소 신성화
C_M_008,광정당본풀이,legend,항파두리,33.4525645,126.4081369,정의현 | 제주목 | 항파두리 | 안덕면,"광정당본풀이는 안덕면 덕수리 지경에 있던 당의 내력을 담은 신화이다. 제주목, 정의현, 정의현을 대표하는 광양당신, 선앙당신, 광정당신은 삼형제로 용왕의 도움을 받아 김통정을 죽이고 각 지역을 대표하는 당신으로 좌정...",신화,MYTH2.002,"본풀이,김통정,대정,삼형제,항파두리,광정당,제주목,무쇠방석,말꼬리,안덕면덕수리,활쏘기,선앙당,광정당본풀이,삼성신화,도술시합,정의,광양당",무속신화,무속신화·신격 전승,무속신화·신격 전승,무속신화·신격 전승 | 해양·어촌 전승,신 | 마을신 | 왕/관원/선비 | 용왕/해신,당/사당 | 마을 | 바다,신성 | 경외 | 신비,인물 전승 | 장소 신성화 | 공동체 기억
C_M_009,광청아기본풀이,legend,김녕리,33.5389636,126.7494481,김녕리 | 구좌읍,광청아기본풀이는 구좌읍 김녕리 송씨 집안을 중심으로 전승하는 집안수호신의 내력을,신화,MYTH2.003,"본풀이,제사,진상,철갈이,광청아기,광청아기본풀이,영암,덕진다리,새색시놀이(각시놀음),빙의,명절,허정승,관청고을,송동지영감본풀이,송동지,동김녕,배진고달또",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 초자연 존재담,신 | 인간,마을,신성 | 따뜻함 | 신비 | 경외,인물 전승 | 공동체 기억 | 장소 신성화
C_M_010,구실할망본풀이(나주 김씨 집안의 조상),legend,신촌리,33.5233479,126.6200395,조천읍 | 신촌리,구실할망본풀이는 나주 김씨 집안에서 모시는 조상신의 내력을 담은 신화이다.,신화,MYTH2.003,"본풀이,전복,신촌리,잠수,물질,나주김씨,김동지,아기씨,구실할망,구실할망본풀이,나주 김씨,조상신본풀이,진주",무속신화,무속신화·신격 전승,해양·어촌 전승,무속신화·신격 전승 | 해양·어촌 전승 | 마을 공동체 전승,신 | 인간 | 조상신,바다 | 마을,신성 | 경외 | 따뜻함 | 신비,공동체 기억 | 인물 전승
C_M_011,궤눼깃당본풀이,legend,김녕리,33.5389636,126.7494481,김녕리 | 송당리 | 구좌읍,궤눼깃당본풀이는 구좌읍 김녕리 궤눼깃당의 내력을 담은 신화이다. 송당본향당의 여섯 째 아들로 태어난 궤눼깃도는 무쇠상자에 담겨 바다에 버려지자 용 왕국에 가서 사위가 되지만 너무 많이 먹는 탓에 부부 함께 무쇠상자에...,신화,MYTH2.002,"본풀이,김녕리,소천국,송당,당오름,벡주또,돗제,궤눼깃당,궤눼깃당본풀이,송당본향당본풀이,궤눼깃도,고부니마루,알송당,벡올레왓,웃손당",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 가족·인간사 서사 | 지명·지형 유래 | 해양·어촌 전승,신 | 인간 | 마을신 | 왕/관원/선비,당/사당 | 마을 | 바다 | 산/오름,신성 | 경외 | 신비 | 따뜻함,인물 전승 | 장소 신성화 | 공동체 기억 | 기원 설명
C_M_012,금덕리당 종신당 유수암당,legend,애월읍,33.4110784,126.3939276,애월읍 | 제주목,"금덕리당 종신당 유수암당 본풀이는 애월읍 유수암리 유수암당의 내력을 담은 신화이다. 김장수는 산신대왕, 산신백관의 도움으로 날랜 말을 얻어 외적이 쳐들어 왔을 때 그 말 을 타고 장수로 나서서 소탕하여 공을 세운 뒤...",신화,MYTH2.002,"말,중국,제주목사,설촌,종신당,산신백관,산신대왕,유수암당,금덕리당,김장수,약탈,겁탈,성제오름,건공장군",무속신화,무속신화·신격 전승,지명·지형 유래,무속신화·신격 전승 | 지명·지형 유래,신 | 왕/관원/선비,산/오름 | 당/사당 | 마을,경외 | 신성 | 신비,인물 전승 | 공동체 기억 | 기원 설명 | 장소 신성화
C_M_013,금덕본향 검은댁잇당,legend,애월읍,33.4110784,126.3939276,애월읍,"금덕본향 검은댁잇당 본풀이는 애월읍 유수암리 검은덱이 마을의 본향당에 얽힌 신화이다. 홍좌수는 꿈에 본향신 송씨영감이 나타나 자신을 위하라는 말에 따라 당을 설립하고, 해변 사람들이 자신을 해치려고 할 때 역시 송씨...",신화,MYTH2.002,"제주목사,설촌,백발노인,검은댁잇당,유수암리,금덕본향,흥좌수,송씨영감",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 지명·지형 유래,신 | 마을신 | 왕/관원/선비 | 인간,당/사당 | 마을 | 해안 마을,경외 | 신성 | 신비,공동체 기억 | 기원 설명 | 인물 전승 | 장소 신성화
C_M_014,금악본향 오일당,legend,한라산,33.3616666,126.5291666,금악리 | 한라산 | 명월리 | 상명리 | 한림읍 | 저지리,금악본향 오일당 본풀이는 한림읍 금악리 오일당의 내력을 담은 신화이다. 최지국의 아들은 정좌수 따님을 보고 반하여 보자마자 달려들었으나 힘으로 제압 당하 는 굴욕을 당하였다. 하지만 정좌수 따님이 마음에 두고 있어 ...,신화,MYTH2.002,"명월리,검은오름,오일당,일뤠중저,조수리,동명리,상대리,금악본향,다신마들,마상총,정좌수따님,객거리,느지리캔틈,상명리,당마르,사신용궁또,삼대바지,마봉오지,아드레중저,남문밧당,상계왓,최지국의아들,하원당,볼레남동산,진근동,알당밭,축일한집",무속신화,무속신화·신격 전승,지명·지형 유래,무속신화·신격 전승 | 지명·지형 유래 | 가족·인간사 서사 | 마을 공동체 전승,신 | 인간,산/오름 | 한라산 권역 | 당/사당,신성 | 경외 | 신비,인물 전승 | 공동체 기억 | 기원 설명 | 장소 신성화
C_M_015,나주 기민창조상본풀이,legend,선흘리,33.4851252,126.7078377,선흘리 | 조천읍 | 조천리,나주 기민창조상본풀이는 조천읍 선흘리 안씨 집안에서 모시는 조상신의 내력을 담은 신화이다. 나주 제민창의 여신이 제주 사람을 따라와 그 집안의 조상신이 되는 한편 마을 사람들 의 생업을 돌보는 당신이 되었다.,신화,MYTH2.003,"본풀이,뱀,어부,해녀,나주,아가씨,기민창조상본풀이,조상신,기민창,광풍,안씨선주,당신본풀이,새콪,처녀신,제민창,칠년대한",무속신화,무속신화·신격 전승,해양·어촌 전승,무속신화·신격 전승 | 해양·어촌 전승 | 가족·인간사 서사 | 마을 공동체 전승,신 | 인간 | 마을신 | 조상신,바다 | 당/사당 | 마을,신성 | 경외 | 따뜻함 | 신비,공동체 기억 | 인물 전승
C_M_016,내왓당 천*조또마누라본풀이,legend,용담동,33.5088456,126.509989,용담동 | 제주시,"내왓당 천또마누라본풀이는 제주시 용담동 내왓당에서 모시던 천자또의 내력을 담은 신화이다. 송당본향당 벡주또와 소천국의 아들인 천자또는 무쇠상자에 담겨 버려지자 용왕황제국 사위가 되었으나, 너무 많이 먹은 탓에 쫓겨...",신화,MYTH2.002,"본풀이,소천국,무쇠상자,벡주또,막내딸,산호수,강남천자국,내왓당,천자또,오붕이굴왓,용왕황제,전물제",무속신화,무속신화·신격 전승,마을 공동체 전승,무속신화·신격 전승 | 마을 공동체 전승 | 가족·인간사 서사 | 해양·어촌 전승,신 | 인간 | 마을신 | 왕/관원/선비 | 용왕/해신,당/사당 | 마을 | 바다 | 산/오름,경외 | 신성 | 신비,인물 전승 | 공동체 기억 | 장소 신성화
