code_no,title,source_type,primary_place,lat,lng,all_places,summary_hint,narrative_type,core_topics,entities,spaces,moods,functions,tag_notes
C_M_001,C_M_001 각시당본풀이,legend,삼도동,33.5120406,126.5215055,삼도동 | 제주시 | 남문통,각시당본풀이는 제주시 삼도동에 있던 각시당에 얽힌 무속신화이다.,,,,,,,
C_M_002,C_M_002 고내본향,legend,항파두리,33.4525645,126.4081369,납읍리 | 애월읍 | 고내리 | 고내봉 | 항파두리,고내본향 본풀이는 애월읍 고내리의 본향당과 관련하여 전승되는 신화이다. 탐라 시절 천자국에서 제주를 욕심내어 차지할 요량으로 김통정을 보내었으나 김통정이 욕심이 생겨 돌아가지 않자 삼장수를 보내어 김통정을 처단하였는...,,,,,,,
C_M_003,C_M_003 고대장본풀이,legend,납읍리,33.4284054,126.3417831,제주성 | 납읍리 | 선흘리 | 조천읍 | 대정현 | 무근성 | 용담동 | 어음리 | 제주시 | 남문통,"고대장본풀이는 제주시 삼도2동 무근성 고만호 댁에서 모시는 조상신의 내력을 담은 신화이다. 고대장은 뛰어난 심방이어서 이형상 목사가 당을 철폐할 때 제주성 일대의 당을 지켜내 었고, 조천읍 선흘리 안씨 댁 굿을 갔더...",,,,,,,
C_M_004,C_M_004 고도채비본,legend,시흥리,33.4693635,126.8824129,제주성 | 성산읍 | 시흥리,고도채비본은 날래기가 도깨비와 같은 고씨 성을 가진 사람의 내력을 담은 신화이다.,,,,,,,
C_M_005,C_M_005 고성신양수산본향당본풀이,legend,마라도,33.1206371,126.2671204,성산읍 | 종달리 | 송당리 | 고성리 | 마라도 | 수산리 | 구좌읍,고성신양수산본향당본풀이는 성산읍 고성리・신양리・수산리 사람들이 함께 모시는 수,,,,,,,
C_M_006,C_M_006 고전적본,legend,봉개동,33.4571323,126.6130534,봉개동 | 정의현 | 제주시,고전적본은 제주시 봉개동 명도암 고씨와 김씨 집안의 수호신에 대한 이야기이다. 고전적 자손이 장잇고을 현감살이하러 갔다가 귀향할 때 딸에게 선물로 준 옷감에 따라 온 한양일월이 딸에게 병을 일으켜 굿을 하는데 양반집...,,,,,,,
C_M_007,C_M_007 곤물당본풀이,legend,화순리,33.252712,126.3343265,화순리 | 안덕면,곤물당본풀이는 안덕면 화순리 곤물당의 내력을 전하는 신화이다. 고성목은 급히 큰 길을 만들라는 목사의 명령을 받고 고민하던 차에 길이 생기는 꿈을 보았는데 실제로 길이 만들어져 위기를 벗어났으나 다시 위기가 닥칠 것...,,,,,,,
C_M_008,C_M_008 광정당본풀이,legend,항파두리,33.4525645,126.4081369,정의현 | 제주목 | 항파두리 | 안덕면,"광정당본풀이는 안덕면 덕수리 지경에 있던 당의 내력을 담은 신화이다. 제주목, 정의현, 정의현을 대표하는 광양당신, 선앙당신, 광정당신은 삼형제로 용왕의 도움을 받아 김통정을 죽이고 각 지역을 대표하는 당신으로 좌정...",,,,,,,
C_M_009,C_M_009 광청아기본풀이,legend,김녕리,33.5389636,126.7494481,김녕리 | 구좌읍,광청아기본풀이는 구좌읍 김녕리 송씨 집안을 중심으로 전승하는 집안수호신의 내력을,,,,,,,
C_M_010,C_M_010 구실할망본풀이(나주 김씨 집안의 조상),legend,신촌리,33.5233479,126.6200395,조천읍 | 신촌리,구실할망본풀이는 나주 김씨 집안에서 모시는 조상신의 내력을 담은 신화이다.,,,,,,,
C_M_011,C_M_011 궤눼깃당본풀이,legend,김녕리,33.5389636,126.7494481,김녕리 | 송당리 | 구좌읍,궤눼깃당본풀이는 구좌읍 김녕리 궤눼깃당의 내력을 담은 신화이다. 송당본향당의 여섯 째 아들로 태어난 궤눼깃도는 무쇠상자에 담겨 바다에 버려지자 용 왕국에 가서 사위가 되지만 너무 많이 먹는 탓에 부부 함께 무쇠상자에...,,,,,,,
C_M_012,C_M_012 금덕리당 종신당 유수암당,legend,애월읍,33.4110784,126.3939276,애월읍 | 제주목,"금덕리당 종신당 유수암당 본풀이는 애월읍 유수암리 유수암당의 내력을 담은 신화이다. 김장수는 산신대왕, 산신백관의 도움으로 날랜 말을 얻어 외적이 쳐들어 왔을 때 그 말 을 타고 장수로 나서서 소탕하여 공을 세운 뒤...",,,,,,,
